t; x; y; theta
25922739.979996; 0.00; 0.00; 37.85
25937107.618996; 0.00; 0.00; 37.90
25953390.797997; 0.00; 0.00; 37.95
25973539.056992; 0.00; 0.00; 38.01
25984645.083992; 0.00; 0.00; 38.03
26001471.975998; 0.00; 0.00; 38.08
26018555.938004; 0.00; 0.00; 38.12
26033147.810997; 0.00; 0.00; 38.15
26049839.695999; 0.00; 0.00; 38.19
26067026.919998; 0.00; 0.00; 38.23
26080638.030998; 0.00; 0.00; 38.26
26098246.916000; 0.00; 0.00; 38.30
26112647.275002; 0.00; 0.00; 38.34
26128653.564995; 0.00; 0.00; 38.38
26146307.645996; 0.00; 0.00; 38.42
26161379.606003; 0.00; 0.00; 38.45
26178087.627998; 0.00; 0.00; 38.49
26192732.941994; 0.00; 0.00; 38.53
26209004.543991; 0.00; 0.00; 38.57
26225783.167999; 0.00; 0.00; 38.61
26240686.278999; 0.00; 0.00; 38.64
26258454.554001; 0.00; 0.00; 38.68
26272710.505997; 0.00; 0.00; 38.72
26291075.662003; 0.00; 0.00; 38.76
26306702.948997; 0.00; 0.00; 38.80
26322467.220993; 0.00; 0.00; 38.84
26337750.431000; 0.00; 0.00; 38.87
26352663.486000; 0.00; 0.00; 38.91
26369858.037003; 0.00; 0.00; 38.95
26384797.043999; 0.00; 0.00; 38.99
26400865.825996; 0.00; 0.00; 39.02
26416898.526001; 0.00; 0.00; 39.06
26433679.624001; 0.00; 0.00; 39.10
26451540.957993; 0.00; 0.00; 39.14
26466600.938995; 0.00; 0.00; 39.18
26483533.712997; 0.00; 0.00; 39.22
26497644.431000; 0.00; 0.00; 39.25
26514280.087997; 0.00; 0.00; 39.29
26529085.772995; 0.00; 0.00; 39.33
26544697.493996; 0.00; 0.00; 39.37
26562670.635994; 0.00; 0.00; 39.41
26577683.848000; 0.00; 0.00; 39.45
26593354.118996; 0.00; 0.00; 39.48
26611891.422997; 0.00; 0.00; 39.53
26624825.531998; 0.00; 0.00; 39.56
